1,0.614245
2,0.59541
3,0.592554
4,0.591131
5,0.585417
6,0.585991
7,0.580573
8,0.579716
9,0.579433
10,0.585141
11,0.578577
12,0.576866
13,0.574878
14,0.579717
15,0.576865
16,0.578008
17,0.576292
18,0.572599
19,0.568019
20,0.572868
21,0.57572
22,0.564596
23,0.567765
24,0.552946
25,0.563452
26,0.562357
27,0.57089
28,0.572305
29,0.568598
30,0.566316
31,0.568316
32,0.571732
33,0.571728
34,0.573439
35,0.567172
36,0.570876
37,0.569739
38,0.57288
39,0.568873
40,0.568308
41,0.572872
42,0.573157
43,0.554309
44,0.566614
45,0.571736
46,0.566895
47,0.564319
48,0.569465
49,0.562334
50,0.572301
