len_email,avg_word_len,sd_word_len,huffingtonpost,guardian,state_gov
24,5.54166666667,2.04081614938,0,0,0
33,5.60606060606,1.68665697577,0,0,0
118,5.05084745763,2.52058460271,0,0,1
433,5.44572748268,1.78068582932,0,0,0
285,4.85964912281,1.83569477732,0,0,0
35,5.34285714286,2.34146299983,0,0,0
120,5.16666666667,2.3921166824,0,0,0
72,5.52777777778,2.06136566263,0,0,0
50,5.2,2.4,0,0,0
106,5.34905660377,3.32242935905,0,0,0
39,5.41025641026,2.23856580366,0,0,0
107,5.16822429907,2.05297131968,0,0,0
661,5.69742813918,1.84722289324,0,0,0
61,5.34426229508,2.20940794608,0,0,0
369,5.47425474255,2.1426153636,0,0,0
533,5.78986866792,2.23416474389,0,0,0
543,5.73664825046,2.20803017127,0,0,0
15,5.06666666667,1.73076733143,0,0,1
105,5.00952380952,1.92969397078,0,0,0
482,5.57261410788,1.73202595631,0,0,0
138,5.13043478261,1.89134599321,0,0,0
646,5.39473684211,2.04755464863,0,0,1
64,5.34375,1.8304605807,0,0,1
1194,5.51507537688,2.01797380908,0,0,0
80,5.475,2.17356274352,0,0,0
77,5.28571428571,1.73472661761,0,0,0
57,5.47368421053,1.94760548581,0,0,0
343,5.59183673469,1.85860001143,0,0,0
338,5.31360946746,2.10153325011,0,0,1
206,4.94660194175,2.15921216907,0,0,1
53,5.22641509434,2.03406377735,0,0,0
258,5.29069767442,1.797066596,0,0,0
45,5.17777777778,2.19381847612,0,0,0
278,5.1618705036,2.54295176821,0,0,0
736,5.61684782609,1.85036390625,0,0,1
656,5.55487804878,1.76432481655,0,0,0
192,5.328125,1.98211813919,0,0,0
162,5.47530864198,2.03123941147,0,0,0
112,5.8125,2.59990126873,0,0,0
162,5.54320987654,1.72168007751,0,0,0
76,5.43421052632,2.58200007295,0,0,0
221,5.41176470588,1.96752987497,0,0,0
121,5.38842975207,1.84243775286,0,0,0
169,5.62721893491,1.65967629427,0,0,0
9,5.11111111111,1.79161283296,0,0,0
254,5.19291338583,1.74963128185,0,0,0
94,5.48936170213,2.33267575722,0,0,0
115,5.34782608696,2.1060718773,0,0,0
529,5.19470699433,2.10631653309,0,0,1
159,4.8679245283,2.08049706067,0,0,0
830,5.54578313253,1.73405306994,0,0,0
54,4.92592592593,1.97063490288,0,0,0
635,5.54330708661,1.86368488394,0,0,0
1353,5.48410938655,1.83501065886,0,0,0
634,5.41798107256,1.75836666744,0,0,0
29,5.24137931034,2.23845963684,0,0,0
361,5.13850415512,1.84216149707,0,0,0
33,4.66666666667,1.56991925418,0,0,0
1402,5.47931526391,1.86297741206,0,0,1
32,5.375,1.67238602003,0,0,0
972,5.49074074074,1.73351039773,0,0,0
371,5.24528301887,1.68286051979,0,0,0
251,5.30677290837,1.90969270807,0,0,0
279,5.36559139785,1.90519914708,0,0,0
1740,5.4,1.71631789784,0,0,0
421,5.57957244656,1.78711694933,0,0,0
96,5.55208333333,2.29069581708,0,0,1
12,6.0,2.16024689947,0,0,0
148,5.00675675676,2.55611778485,0,0,1
464,5.31896551724,1.75110377964,0,0,0
94,5.62765957447,1.67575986291,0,0,0
33,5.66666666667,4.48341500433,0,0,0
96,5.41666666667,2.45232316159,0,0,0
580,5.66551724138,1.74549190025,0,0,0
475,5.23578947368,1.87256737856,0,0,1
1153,5.56895056375,1.73249351059,0,0,0
