0.002000,0.633088
0.002500,0.638228
0.003000,0.645932
0.003500,0.648497
0.004000,0.651066
0.004500,0.653062
0.005000,0.656201
0.005500,0.657052
0.006000,0.656483
0.006500,0.657910
0.007000,0.659903
0.007500,0.660475
0.008000,0.663326
0.008500,0.664757
0.009000,0.667893
0.009500,0.667892
0.010000,0.667321
0.010500,0.666750
0.011000,0.667605
0.011500,0.664751
0.012000,0.666462
0.012500,0.667603
0.013000,0.665890
0.013500,0.663897
0.014000,0.666466
0.014500,0.667889
0.015000,0.668178
0.015500,0.667891
0.016000,0.667319
0.016500,0.668176
0.017000,0.667609
0.017500,0.667893
0.018000,0.667891
0.018500,0.667890
0.019000,0.666749
0.019500,0.667034
